,Latitude,Longitude,crime,Bathrooms,SQFT,Price,energySiteEUI
169,42.36569,-71.052765,14.0,1.0,550.0,2500.0,372.3
171,42.364586,-71.052345,14.0,1.0,600.0,2200.0,372.3
172,42.364586,-71.052345,14.0,1.0,550.0,2200.0,372.3
173,42.361576,-71.053276,7.0,1.5,1325.0,2800.0,238.0
174,42.36569,-71.052765,14.0,1.0,550.0,2500.0,372.3
175,42.36648,-71.05226,14.0,1.0,885.5,2400.0,372.3
176,42.36648,-71.05226,14.0,1.0,885.5,2399.0,372.3
178,42.36648,-71.05226,14.0,2.0,1120.75,2400.0,372.3
179,42.36648,-71.05226,14.0,1.0,885.5,2400.0,372.3
180,42.36648,-71.05226,14.0,1.0,575.0,1800.0,372.3
182,42.367702,-71.054535,3.0,2.0,1000.0,2200.0,155.5
183,42.366226,-71.05108,2.0,1.0,885.5,2700.0,326.1
184,42.366215,-71.05181,2.0,2.5,1250.0,3900.0,326.1
185,42.367702,-71.054535,3.0,2.0,1000.0,2200.0,155.5
186,42.36499,-71.052605,14.0,1.0,550.0,2300.0,372.3
187,42.36569,-71.052765,14.0,1.0,550.0,2500.0,372.3
189,42.36523,-71.05233,14.0,1.0,500.0,2000.0,372.3
190,42.366226,-71.05108,2.0,1.0,950.0,2700.0,326.1
191,42.36277,-71.05315,14.0,2.0,825.5,2800.0,188.3
192,42.365883,-71.05176,2.0,1.0,691.5,1550.0,326.1
194,42.36593,-71.05241,14.0,1.0,600.0,1800.0,372.3
195,42.365963,-71.051926,2.0,1.0,537.5,1550.0,326.1
196,42.36648,-71.05226,14.0,2.0,1120.75,2495.0,372.3
197,42.36195,-71.05332,7.0,1.0,1200.0,3000.0,238.0
198,42.357876,-71.05435,16.0,2.0,1200.0,2990.0,912.9
199,42.36513,-71.05145,2.0,1.0,577.0,2500.0,326.1
200,42.366226,-71.05108,2.0,2.0,1243.0,3200.0,326.1
201,42.366226,-71.05108,2.0,1.5,1251.25,2800.0,326.1
202,42.366226,-71.05108,2.0,1.0,800.0,2300.0,326.1
203,42.362297,-71.05264,14.0,1.0,850.0,2550.0,188.3
204,42.357876,-71.05435,16.0,1.0,650.0,2500.0,912.9
205,42.357754,-71.05401,16.0,1.0,650.0,2900.0,912.9
206,42.366226,-71.05108,2.0,1.5,1500.0,2900.0,326.1
207,42.362587,-71.05272,14.0,2.0,762.0,2700.0,188.3
208,42.365223,-71.05231,14.0,1.0,400.0,1850.0,372.3
209,42.36648,-71.05226,14.0,1.0,885.5,2495.0,372.3
210,42.35845,-71.05444,16.0,1.0,687.5,3500.0,912.9
211,42.366722,-71.05223,3.0,1.0,575.0,1900.0,155.5
212,42.358345,-71.05711,13.0,2.0,1240.0,3542.0,331.6
213,42.35845,-71.05444,16.0,1.0,700.0,3400.0,912.9
214,42.364944,-71.05247,14.0,1.0,610.0,3000.0,372.3
215,42.357876,-71.05435,16.0,1.0,550.0,2400.0,912.9
216,42.36195,-71.05332,7.0,1.0,1066.75,3000.0,238.0
217,42.35933,-71.05491,13.0,2.0,1015.0,3100.0,331.6
218,42.367577,-71.05437,3.0,1.0,820.0,3400.0,155.5
219,42.366074,-71.05176,2.0,1.0,885.5,3000.0,326.1
220,42.36566,-71.05249,14.0,1.0,550.0,1600.0,372.3
223,42.3617,-71.0539,7.0,2.0,1300.0,4100.0,238.0
225,42.367416,-71.05263,3.0,1.0,450.0,1825.0,155.5
226,42.366226,-71.05108,2.0,1.0,800.0,2300.0,326.1
227,42.36272,-71.05257,14.0,1.0,1066.75,2600.0,188.3
228,42.362644,-71.05233,14.0,1.0,1300.0,2250.0,188.3
229,42.36304,-71.05275,14.0,2.5,1240.0,4400.0,188.3
230,42.36754,-71.05436,3.0,1.0,676.25,3600.0,155.5
231,42.35933,-71.05491,13.0,2.5,1175.75,3350.0,331.6
232,42.366272,-71.04959,2.0,2.5,1175.75,7250.0,326.1
233,42.357754,-71.05401,16.0,2.0,1166.25,4000.0,912.9
234,42.366215,-71.05181,2.0,2.5,1175.75,4000.0,326.1
235,42.357758,-71.05744,13.0,3.0,2565.0,13900.0,331.6
236,42.357758,-71.05744,13.0,2.0,1445.0,7900.0,331.6
237,42.357758,-71.05744,13.0,1.0,770.0,3800.0,331.6
238,42.358788,-71.05654,13.0,1.0,692.5,2895.0,331.6
239,42.36754,-71.05436,3.0,1.0,535.0,1825.0,155.5
240,42.36758,-71.05398,3.0,1.0,700.0,1800.0,155.5
241,42.364586,-71.052345,14.0,1.0,575.0,2200.0,372.3
242,42.366226,-71.05108,2.0,1.0,792.0,2700.0,326.1
244,42.36513,-71.05145,2.0,1.0,1358.0,1950.0,326.1
245,42.361576,-71.053276,7.0,1.5,1200.0,2800.0,238.0
246,42.362587,-71.05272,14.0,2.0,1111.0,2900.0,188.3
247,42.35787,-71.054504,16.0,4.0,4425.25,6400.0,912.9
248,42.364964,-71.052536,14.0,1.0,840.0,2600.0,372.3
249,42.36523,-71.05233,14.0,1.0,500.0,1950.0,372.3
250,42.36587,-71.05135,2.0,1.5,1500.0,2900.0,326.1
251,42.36652,-71.05189,2.0,1.0,650.0,1850.0,326.1
252,42.36195,-71.05332,7.0,1.0,1066.75,3300.0,238.0
253,42.366215,-71.05181,2.0,2.5,1218.0,4000.0,326.1
254,42.3628,-71.053955,14.0,2.0,1111.0,4500.0,188.3
256,42.366226,-71.05108,2.0,1.0,800.0,2300.0,326.1
257,42.365677,-71.05187,2.0,1.0,840.0,2500.0,326.1
258,42.365677,-71.05187,2.0,1.0,840.0,2500.0,326.1
260,42.366215,-71.05181,2.0,3.0,1175.75,4200.0,326.1
262,42.361916,-71.05298,7.0,1.0,980.0,3500.0,238.0
263,42.365677,-71.05187,2.0,1.0,840.0,2500.0,326.1
264,42.365925,-71.05231,14.0,2.0,1120.75,3300.0,372.3
265,42.365677,-71.05187,2.0,1.0,900.0,2500.0,326.1
266,42.366615,-71.0518,2.0,2.0,1120.75,2400.0,326.1
267,42.36277,-71.05315,14.0,2.0,1142.0,2900.0,188.3
268,42.36277,-71.05315,14.0,1.0,800.0,2600.0,188.3
269,42.357754,-71.05401,16.0,2.0,1166.25,3930.0,912.9
270,42.36752,-71.05388,3.0,1.0,529.5,1800.0,155.5
271,42.36523,-71.05233,14.0,1.0,500.0,1800.0,372.3
272,42.36523,-71.05233,14.0,1.0,500.0,1800.0,372.3
273,42.36754,-71.05436,3.0,1.0,375.0,3600.0,155.5
277,42.36569,-71.052765,14.0,1.0,600.0,2500.0,372.3
278,42.36752,-71.05388,3.0,1.0,529.5,1800.0,155.5
280,42.35483,-71.05887,16.0,1.0,400.0,2330.0,399.05
282,42.356213,-71.05949,30.0,2.0,1281.0,7250.0,532.1
283,42.356213,-71.05949,30.0,1.0,923.0,3950.0,532.1
284,42.356213,-71.05949,30.0,2.0,1498.0,8500.0,532.1
285,42.356213,-71.05949,30.0,1.0,948.0,4020.0,532.1
288,42.357815,-71.050964,3.0,1.0,750.0,3000.0,371.4
289,42.357815,-71.050964,3.0,2.5,1660.0,4800.0,371.4
290,42.356213,-71.05949,30.0,2.5,1423.0,7500.0,532.1
291,42.356213,-71.05949,30.0,2.5,1426.0,8949.0,532.1
292,42.356213,-71.05949,30.0,1.5,871.0,4000.0,532.1
293,42.356213,-71.05949,30.0,3.5,2186.0,15000.0,532.1
294,42.356213,-71.05949,30.0,1.5,948.0,4200.0,532.1
295,42.357815,-71.050964,3.0,2.0,1207.0,4495.0,371.4
296,42.356213,-71.05949,30.0,3.0,1740.0,9300.0,532.1
297,42.356213,-71.05949,30.0,2.5,1609.0,8500.0,532.1
298,42.356213,-71.05949,30.0,2.0,1161.0,5900.0,532.1
299,42.356213,-71.05949,30.0,1.0,948.0,4020.0,532.1
300,42.356213,-71.05949,30.0,2.5,1426.0,7500.0,532.1
301,42.356213,-71.05949,30.0,2.0,1161.0,6000.0,532.1
302,42.356213,-71.05949,30.0,1.5,812.0,4100.0,532.1
303,42.356213,-71.05949,30.0,2.0,1161.0,6500.0,532.1
304,42.356213,-71.05949,30.0,1.5,878.0,4350.0,532.1
305,42.356213,-71.05949,30.0,1.0,800.0,4000.0,532.1
306,42.356213,-71.05949,30.0,3.0,1754.0,11500.0,532.1
307,42.356213,-71.05949,30.0,3.5,2222.0,17000.0,532.1
309,42.357815,-71.050964,3.0,1.0,750.0,3000.0,371.4
310,42.356213,-71.05949,30.0,1.5,812.0,3900.0,532.1
311,42.356213,-71.05949,30.0,1.0,950.0,3900.0,532.1
312,42.357815,-71.050964,3.0,1.0,870.0,2600.0,371.4
313,42.356213,-71.05949,30.0,2.0,1500.0,8500.0,532.1
315,42.357815,-71.050964,3.0,1.0,890.0,3300.0,371.4
316,42.357815,-71.050964,3.0,1.0,753.0,3200.0,371.4
319,42.357677,-71.05273,16.0,2.0,1220.0,4300.0,912.9
321,42.357815,-71.050964,3.0,1.0,778.0,3200.0,371.4
322,42.356213,-71.05949,30.0,1.0,798.0,4400.0,532.1
323,42.356934,-71.050446,7.0,2.0,1691.0,8000.0,150.3
324,42.356213,-71.05949,30.0,2.0,1281.0,7200.0,532.1
325,42.356213,-71.05949,30.0,2.0,1308.0,10000.0,532.1
326,42.356213,-71.05949,30.0,1.0,812.0,4100.0,532.1
327,42.356213,-71.05949,30.0,1.0,873.0,4200.0,532.1
328,42.356213,-71.05949,30.0,1.0,798.0,4400.0,532.1
329,42.356213,-71.05949,30.0,1.0,780.0,4000.0,532.1
330,42.356213,-71.05949,30.0,2.0,1308.0,9000.0,532.1
331,42.356213,-71.05949,30.0,1.5,798.0,3950.0,532.1
332,42.356213,-71.05949,30.0,2.5,1426.0,7500.0,532.1
333,42.356213,-71.05949,30.0,1.0,871.0,4200.0,532.1
334,42.356213,-71.05949,30.0,1.0,948.0,4200.0,532.1
335,42.356213,-71.05949,30.0,2.5,1779.0,12500.0,532.1
336,42.356213,-71.05949,30.0,1.0,812.0,3950.0,532.1
337,42.356213,-71.05949,30.0,1.5,871.0,4100.0,532.1
338,42.356213,-71.05949,30.0,1.5,877.25,4100.0,532.1
339,42.357815,-71.050964,3.0,1.0,750.0,3200.0,371.4
341,42.357815,-71.050964,3.0,1.0,750.0,3000.0,371.4
342,42.357815,-71.050964,3.0,2.0,1356.5,5750.0,371.4
343,42.356213,-71.05949,30.0,1.5,871.0,4200.0,532.1
344,42.356213,-71.05949,30.0,2.0,1161.0,5500.0,532.1
345,42.356213,-71.05949,30.0,1.0,798.0,4750.0,532.1
346,42.356213,-71.05949,30.0,1.0,923.0,4500.0,532.1
347,42.356213,-71.05949,30.0,1.5,878.0,4900.0,532.1
349,42.356213,-71.05949,30.0,1.5,878.0,4750.0,532.1
350,42.356213,-71.05949,30.0,2.0,1566.0,9500.0,532.1
352,42.357815,-71.050964,3.0,1.0,750.0,2500.0,371.4
353,42.356213,-71.05949,30.0,1.0,780.0,4150.0,532.1
354,42.362446,-71.051636,3.0,1.0,1500.0,5000.0,211.3
355,42.356213,-71.05949,30.0,1.5,798.0,3900.0,532.1
356,42.356213,-71.05949,30.0,2.5,1424.0,8000.0,532.1
357,42.356903,-71.05055,7.0,2.0,1404.5,9500.0,150.3
358,42.356895,-71.052956,6.0,3.5,1975.5,5300.0,846.0
361,42.36188,-71.05059,0.0,2.0,1505.0,6500.0,105.0
362,42.357815,-71.050964,3.0,2.0,1356.5,4500.0,371.4
363,42.357677,-71.05273,16.0,2.5,1674.0,14000.0,912.9
364,42.36188,-71.05059,0.0,2.0,1902.0,6500.0,105.0
365,42.36233,-71.0507,3.0,1.0,1100.0,2975.0,211.3
366,42.356213,-71.05949,30.0,2.5,1779.0,13750.0,532.1
367,42.3582,-71.05056,3.0,1.0,815.0,3050.0,371.4
368,42.356213,-71.05949,30.0,1.5,867.0,4350.0,532.1
370,42.361385,-71.0526,7.0,1.0,815.0,2700.0,238.0
371,42.357815,-71.050964,3.0,2.0,1356.5,4250.0,371.4
372,42.36233,-71.0507,3.0,1.0,1116.75,3300.0,211.3
373,42.356213,-71.05949,30.0,2.0,1151.0,5500.0,532.1
374,42.356213,-71.05949,30.0,2.0,1154.0,5500.0,532.1
375,42.356213,-71.05949,30.0,2.5,1362.0,8000.0,532.1
376,42.356213,-71.05949,30.0,1.0,759.0,4400.0,532.1
377,42.356213,-71.05949,30.0,1.0,759.0,4100.0,532.1
378,42.356213,-71.05949,30.0,2.5,1426.0,8500.0,532.1
379,42.356213,-71.05949,30.0,2.5,1362.0,9000.0,532.1
380,42.356213,-71.05949,30.0,2.5,1362.0,7200.0,532.1
381,42.35726,-71.05254,6.0,2.5,1300.0,6500.0,846.0
395,42.353416,-71.06255,19.0,2.0,1256.0,6950.0,263.7
396,42.35361,-71.059425,16.0,1.5,2200.0,5500.0,399.05
397,42.374336,-71.09605,1.0,1.0,780.0,2600.0,68.8
398,42.352623,-71.0591,10.0,1.0,800.0,2500.0,335.7
401,42.353416,-71.06255,19.0,3.5,4663.0,20000.0,263.7
406,42.353416,-71.0626,19.0,2.0,1357.0,3550.0,263.7
407,42.352623,-71.0591,10.0,1.5,852.0,3300.0,335.7
409,42.353416,-71.0626,19.0,2.0,1286.0,4000.0,263.7
411,42.352623,-71.0591,10.0,1.0,852.0,3300.0,335.7
413,42.354435,-71.06338,10.0,1.0,605.0,2400.0,595.2
417,42.354435,-71.06338,10.0,1.0,675.0,2200.0,595.2
418,42.348164,-71.063065,4.0,2.0,1011.5,2400.0,40.8
419,42.353416,-71.06251,19.0,2.5,2182.25,5999.0,263.7
420,42.354435,-71.06338,10.0,2.0,1150.0,4275.0,595.2
421,42.35138,-71.0571,19.0,2.0,1700.0,3900.0,300.1
422,42.354435,-71.06338,10.0,2.0,1120.0,3700.0,595.2
423,42.355785,-71.059525,30.0,1.0,798.0,4600.0,532.1
425,42.353416,-71.0626,19.0,3.0,1404.0,5250.0,263.7
426,42.35205,-71.06245,57.0,2.0,1075.0,3500.0,592.3
428,42.374336,-71.09605,1.0,1.0,690.0,3150.0,68.8
429,42.354435,-71.06338,10.0,1.0,725.0,2500.0,595.2
430,42.353416,-71.06255,19.0,2.5,1602.0,6500.0,263.7
431,42.35138,-71.0571,19.0,2.0,1700.0,3900.0,300.1
432,42.353416,-71.06251,19.0,4.5,2667.0,15000.0,263.7
433,42.35042,-71.057724,7.0,2.0,1492.0,4000.0,437.0
437,42.3517,-71.062904,57.0,1.0,553.0,4000.0,592.3
441,42.353416,-71.0626,19.0,2.0,998.0,3750.0,263.7
442,42.351494,-71.06052,57.0,1.0,1205.5,2250.0,592.3
444,42.35361,-71.059425,16.0,1.5,1354.0,5500.0,399.05
445,42.35106,-71.06192,57.0,1.0,950.0,2600.0,592.3
446,42.35195,-71.05792,10.0,2.0,1137.0,3900.0,335.7
447,42.348442,-71.061195,6.0,1.0,1205.5,2400.0,318.0
448,42.35195,-71.05792,10.0,2.0,1141.0,4000.0,335.7
449,42.35106,-71.06192,57.0,1.0,1205.5,2600.0,592.3
451,42.353416,-71.06251,19.0,2.5,4421.0,5999.0,263.7
452,42.352623,-71.0591,10.0,1.0,837.0,3300.0,335.7
453,42.353416,-71.0626,19.0,2.0,1276.0,3700.0,263.7
454,42.355106,-71.06299,10.0,1.0,600.0,2300.0,595.2
455,42.352623,-71.0591,10.0,1.0,837.0,3300.0,335.7
456,42.347736,-71.06322,4.0,1.0,500.0,1295.0,40.8
457,42.352623,-71.0591,10.0,1.0,844.0,3300.0,335.7
458,42.348827,-71.063446,27.0,2.0,956.0,2900.0,284.8
459,42.352066,-71.06221,57.0,1.0,732.25,3148.0,592.3
460,42.348827,-71.063446,27.0,1.0,668.75,3000.0,284.8
461,42.34996,-71.05971,7.0,1.0,712.5,2750.0,437.0
466,42.35195,-71.06035,57.0,1.0,1205.5,2300.0,592.3
468,42.353416,-71.06251,19.0,2.5,1402.0,6250.0,263.7
469,42.35084,-71.05682,8.0,1.0,1500.0,3500.0,155.7
470,42.348164,-71.063065,4.0,2.0,1011.5,2300.0,40.8
471,42.35338,-71.06113,19.0,2.0,1103.25,5500.0,263.7
472,42.353416,-71.06255,19.0,2.5,1596.0,9500.0,263.7
474,42.353897,-71.06372,10.0,2.0,1139.5,5500.0,595.2
475,42.353416,-71.06251,19.0,2.5,1402.0,6000.0,263.7
476,42.353416,-71.06255,19.0,2.5,1596.0,9200.0,263.7
477,42.349815,-71.0573,8.0,2.0,1728.0,3900.0,155.7
479,42.354435,-71.06338,10.0,1.0,605.0,2250.0,595.2
480,42.35117,-71.06199,57.0,2.0,1073.0,3508.0,592.3
484,42.353416,-71.06255,19.0,2.0,1032.0,5800.0,263.7
485,42.353416,-71.0626,19.0,2.0,1078.0,4500.0,263.7
487,42.35195,-71.05792,10.0,2.0,1057.0,4000.0,335.7
489,42.348335,-71.06124,6.0,1.0,668.75,1995.0,318.0
490,42.348164,-71.063065,4.0,2.0,1011.5,2300.0,40.8
493,42.353416,-71.06251,19.0,3.0,1675.0,8900.0,263.7
496,42.348164,-71.063065,4.0,2.0,1011.5,2400.0,40.8
497,42.35106,-71.06192,57.0,1.0,900.0,2500.0,592.3
498,42.374336,-71.09605,1.0,1.0,616.0,2600.0,68.8
499,42.35269,-71.060326,57.0,1.0,911.0,3726.0,592.3
500,42.353416,-71.0626,19.0,1.5,965.0,3750.0,263.7
501,42.35269,-71.060326,57.0,1.0,640.0,2775.0,592.3
502,42.35269,-71.060326,57.0,2.0,1050.0,3616.0,592.3
503,42.354435,-71.06338,10.0,1.0,605.0,2400.0,595.2
506,42.35117,-71.06199,57.0,1.0,825.0,5031.0,592.3
508,42.35106,-71.06192,57.0,1.0,1205.5,2500.0,592.3
509,42.35225,-71.057434,19.0,1.0,1205.5,3000.0,300.1
510,42.352245,-71.05952,10.0,2.0,1005.0,4000.0,335.7
512,42.352623,-71.0591,10.0,1.0,852.0,3300.0,335.7
513,42.353897,-71.06372,10.0,1.0,1205.5,5500.0,595.2
515,42.35084,-71.05682,8.0,1.0,1472.0,3500.0,155.7
516,42.35195,-71.05792,10.0,2.0,1138.0,3900.0,335.7
517,42.353416,-71.06255,19.0,4.5,3246.0,17500.0,263.7
518,42.244804,-71.122955,4.0,1.0,731.25,1995.0,71.7
519,42.352337,-71.06023,10.0,1.0,1205.5,2700.0,335.7
522,42.354435,-71.06338,10.0,1.0,652.5,2500.0,595.2
523,42.353745,-71.05981,16.0,2.0,1590.0,4800.0,399.05
526,42.348827,-71.063446,27.0,2.0,956.0,2900.0,284.8
527,42.348827,-71.063446,27.0,2.0,956.0,2900.0,284.8
529,42.347504,-71.0626,6.0,2.0,1011.5,3400.0,318.0
530,42.35195,-71.05792,10.0,1.0,792.75,2900.0,335.7
531,42.353416,-71.06251,19.0,2.5,2182.25,7600.0,263.7
532,42.352623,-71.0591,10.0,1.5,1328.0,3550.0,335.7
533,42.349915,-71.060165,7.0,1.0,712.5,3150.0,437.0
536,42.35225,-71.057434,19.0,2.0,1709.0,2000.0,300.1
537,42.348164,-71.063065,4.0,2.0,1011.5,2400.0,40.8
538,42.353416,-71.06251,19.0,2.0,1139.5,5200.0,263.7
539,42.348633,-71.0614,6.0,1.0,668.75,1795.0,318.0
540,42.348152,-71.062996,4.0,2.0,1011.5,2400.0,40.8
541,42.34996,-71.05971,7.0,1.0,712.5,3100.0,437.0
542,42.352623,-71.0591,10.0,1.0,852.0,3300.0,335.7
543,42.35313,-71.059204,10.0,2.0,1062.25,3605.0,335.7
544,42.34762,-71.06296,6.0,1.0,668.75,1675.0,318.0
545,42.353416,-71.06255,19.0,1.5,978.75,1900.0,263.7
547,42.353416,-71.06255,19.0,3.0,2181.0,14500.0,263.7
549,42.35195,-71.05792,10.0,2.0,1118.25,4200.0,335.7
550,42.354435,-71.06338,10.0,1.0,650.0,2300.0,595.2
552,42.348827,-71.063446,27.0,2.0,956.0,3300.0,284.8
553,42.348827,-71.063446,27.0,2.0,956.0,3300.0,284.8
554,42.348827,-71.063446,27.0,2.0,956.0,3300.0,284.8
555,42.35195,-71.05792,10.0,2.0,1118.25,4200.0,335.7
556,42.352623,-71.0591,10.0,1.0,1051.0,3300.0,335.7
560,42.365646,-71.054985,10.0,2.0,766.0,2995.0,72.9
561,42.355175,-71.0624,19.0,2.0,1355.75,4650.0,263.7
562,42.348442,-71.061195,6.0,1.0,1205.5,2400.0,318.0
563,42.353416,-71.06251,19.0,2.5,1504.0,7500.0,263.7
565,42.355785,-71.059525,30.0,2.0,1161.0,6200.0,532.1
566,42.353416,-71.06255,19.0,2.5,1596.0,7400.0,263.7
567,42.35195,-71.05792,10.0,1.0,792.75,2900.0,335.7
569,42.374336,-71.09605,1.0,2.0,812.0,4000.0,68.8
570,42.352623,-71.0591,10.0,1.0,852.0,3300.0,335.7
571,42.348827,-71.063446,27.0,1.0,668.75,2450.0,284.8
572,42.374336,-71.09605,1.0,1.0,671.5,2800.0,68.8
574,42.348633,-71.0614,6.0,1.0,1205.5,2695.0,318.0
575,42.35225,-71.057434,19.0,1.0,1205.5,2800.0,300.1
576,42.374336,-71.09605,1.0,1.5,812.0,2850.0,68.8
577,42.352352,-71.05914,10.0,1.0,675.0,3105.0,335.7
578,42.365486,-71.05411,14.0,2.0,1159.5,4000.0,372.3
579,42.366493,-71.052925,14.0,1.5,775.0,5200.0,372.3
